Tabelle: 42153-0001
Index of production in manufacturing: Germany, months,;;
original and adjusted data, economic activities;;
(main groups and aggregates);;
Indices of production in manufacturing;;;
Germany;;;
Index of production (2021=100);;;
;;Original and adjusted data;
;;X13 JDemetra+  calendar and seasonally adjusted;
Industry;;;
2008;January;-;
;February;-;
;March;-;
;April;-;
;May;-;
;June;-;
;July;-;
;August;-;
;September;-;
;October;-;
;November;-;
;December;-;
2009;January;-;
;February;-;
;March;-;
;April;-;
;May;-;
;June;-;
;July;-;
;August;-;
;September;-;
;October;-;
;November;-;
;December;-;
2010;January;-;
;February;-;
;March;-;
;April;-;
;May;-;
;June;-;
;July;-;
;August;-;
;September;-;
;October;-;
;November;-;
;December;-;
2011;January;-;
;February;-;
;March;-;
;April;-;
;May;-;
;June;-;
;July;-;
;August;-;
;September;-;
;October;-;
;November;-;
;December;-;
2012;January;-;
;February;-;
;March;-;
;April;-;
;May;-;
;June;-;
;July;-;
;August;-;
;September;-;
;October;-;
;November;-;
;December;-;
2013;January;-;
;February;-;
;March;-;
;April;-;
;May;-;
;June;-;
;July;-;
;August;-;
;September;-;
;October;-;
;November;-;
;December;-;
2014;January;-;
;February;-;
;March;-;
;April;-;
;May;-;
;June;-;
;July;-;
;August;-;
;September;-;
;October;-;
;November;-;
;December;-;
2015;January;96.5;p
;February;96.6;p
;March;96.6;p
;April;97.8;p
;May;97.7;p
;June;98.0;p
;July;97.9;p
;August;96.4;p
;September;96.5;p
;October;97.0;p
;November;96.5;p
;December;98.0;p
2016;January;98.6;p
;February;98.9;p
;March;97.8;p
;April;98.2;p
;May;97.3;p
;June;98.5;p
;July;97.1;p
;August;98.4;p
;September;98.8;p
;October;99.4;p
;November;100.4;p
;December;98.2;p
2017;January;99.2;p
;February;100.7;p
;March;100.1;p
;April;101.7;p
;May;102.1;p
;June;102.2;p
;July;102.6;p
;August;102.7;p
;September;103.7;p
;October;102.4;p
;November;105.9;p
;December;106.4;p
2018;January;105.1;p
;February;104.2;p
;March;104.7;p
;April;104.1;p
;May;106.4;p
;June;105.6;p
;July;104.3;p
;August;106.4;p
;September;105.9;p
;October;105.6;p
;November;103.6;p
;December;103.7;p
2019;January;104.4;p
;February;103.4;p
;March;105.2;p
;April;103.7;p
;May;103.1;p
;June;102.1;p
;July;101.8;p
;August;102.2;p
;September;101.5;p
;October;100.9;p
;November;101.6;p
;December;99.6;p
2020;January;102.3;p
;February;102.3;p
;March;95.5;p
;April;80.9;p
;May;85.0;p
;June;91.0;p
;July;91.0;p
;August;92.1;p
;September;93.5;p
;October;96.0;p
;November;97.3;p
;December;97.7;p
2021;January;100.2;p
;February;98.5;p
;March;99.1;p
;April;99.9;p
;May;101.0;p
;June;99.5;p
